sql_prompt,sql
show underwriting data policy auto type premium le equal 1000 policyholderid greater 2,SELECT * FROM Underwriting WHERE PolicyType = 'Auto' AND Premium <= 1000 AND PolicyholderID > 2;
find number unique patient diagnosed measles miami,SELECT COUNT(DISTINCT PatientID) FROM PatientsUnique WHERE City = 'Miami' AND Disease = 'Measles';
minimum premium policy sum insured greater 60000 policyholder age greater 30,SELECT MIN(premium) FROM policy_info INNER JOIN policyholder ON policy_info.policy_id = policyholder.policy_id WHERE policy_info.sum_insured > 60000 AND policyholder.age > 30;
many community development initiative completed 2022,SELECT COUNT(*) FROM community_development WHERE YEAR(end_date) = 2022 AND status = 'completed';
average age satellite launched spacex,SELECT AVG(age) FROM satellites WHERE country = 'USA';
satellite deployed specific company particular year,SELECT * FROM Satellites WHERE Manufacturer = 'SpaceX' AND Year = 2018;
present total biomass coral reef pacific ocean,SELECT SUM(biomass) FROM coral_reefs WHERE ocean = 'Pacific Ocean';
display number unique policy total claim amount policy type australia,"SELECT Policy.PolicyType, COUNT(DISTINCT Policy.PolicyID) AS UniquePolicies, SUM(Claims.ClaimAmount) AS TotalClaimsAmount FROM Policy INNER JOIN Claims ON Policy.PolicyID = Claims.PolicyID WHERE Policy.Country = 'Australia' GROUP BY Policy.PolicyType;"
average yield per hectare corn ruraldevelopment database,SELECT AVG(yield_per_hectare) FROM crop_yield WHERE crop = 'corn'
percentage employee completed accessibility training gender,"SELECT e.Gender, COUNT(DISTINCT e.EmployeeID) * 100.0 / (SELECT COUNT(DISTINCT EmployeeID) FROM Employees) AS Percentage FROM Employees e INNER JOIN EmployeeTraining et ON e.EmployeeID = et.EmployeeID INNER JOIN TrainingPrograms tp ON et.ProgramID = tp.ProgramID WHERE tp.ProgramName = 'Accessibility Training' GROUP BY e.Gender;"
average adoption rate aipowered chatbots north america region q3 2021,SELECT AVG(adoption_rate) FROM ai_adoption WHERE region = 'North America' AND quarter = 3;
many tennis player atpplayers table spain,SELECT COUNT(*) FROM atp_players WHERE country = 'Spain';
average salary employee hired 2021 work department,SELECT AVG(Salary) FROM Employees WHERE HireYear = 2021 AND Department = 'IT';
maximum salary marketing department,SELECT MAX(salary) FROM employees WHERE department = 'Marketing';
market share top 2 otas eastern europe region q4 2023,"SELECT SUM(market_share) FROM ota_market_share WHERE ota_id IN (1, 2) AND region = 'Eastern Europe' AND date = '2023-10-01';"
average number goal scored per game player south america team north america,SELECT AVG(goals) FROM player_games WHERE opponent_team_continent = 'North America' AND player_id IN (SELECT player_id FROM players WHERE country LIKE 'South America%');
list marine specie sightingdate 20210101 20220101,SELECT species FROM ResearchVesselSurveys WHERE sighting_date BETWEEN '2021-01-01' AND '2022-01-01';
minimum age employee hr department completed diversity training,SELECT MIN(age) as min_age FROM employee_database WHERE department = 'HR' AND training_completed = 'Diversity';
average energy consumption per hotel france,SELECT AVG(consumption) FROM energy_consumption INNER JOIN hotels ON energy_consumption.hotel_id = hotels.hotel_id WHERE hotels.country = 'France';
hospital recent hospitalization,"SELECT h.name, RANK() OVER (ORDER BY (SELECT COUNT(*) FROM hospitalizations h2 WHERE h2.hospital_id = h.id ORDER BY h2.date DESC)) as recent_hospitalizations FROM hospitals h;"
daily transaction growth rate company working climate change solution european union third quarter 2020,"SELECT ROW_NUMBER() OVER (ORDER BY transaction_date) as day, (LAG(SUM(transaction_value)) OVER (ORDER BY transaction_date) - SUM(transaction_value)) / ABS(LAG(SUM(transaction_value)) OVER (ORDER BY transaction_date)) as growth_rate FROM transactions INNER JOIN company_data ON transactions.company_id = company_data.company_id WHERE EXTRACT(MONTH FROM transaction_date) BETWEEN 7 AND 9 AND company_region = 'European Union' AND company_name LIKE '%Climate Change%' GROUP BY transaction_date;"
infection rate malaria 2019 kenya,SELECT COUNT(*) * 100000 / (SELECT COUNT(*) FROM infections WHERE YEAR(infection_date) = 2019) AS infection_rate FROM infections WHERE infection_type = 'Malaria' AND YEAR(infection_date) = 2019 AND country = 'Kenya';
highest salary employee hired past year,SELECT MAX(Salary) FROM Employees WHERE HireYear = (SELECT MAX(HireYear) FROM Employees);
minimum claim amount corresponding policy type policyholder florida,"SELECT policy_type, MIN(claim_amount) FROM claims JOIN policyholders ON claims.policyholder_id = policyholders.id WHERE policyholders.state = 'Florida' GROUP BY policy_type;"
distribution mental health professional type ny 2020,"SELECT profession, COUNT(*) as num_professionals FROM mental_health_professionals WHERE state = 'NY' AND year = 2020 GROUP BY profession;"
many unique donor made donation month 2020,"SELECT MONTH(DonationDate) as Month, COUNT(DISTINCT DonorID) as UniqueDonors FROM Donations WHERE YEAR(DonationDate) = 2020 GROUP BY MONTH(DonationDate);"
percentage unvaccinated child pakistan,SELECT (Unvaccinated / Total) * 100 FROM Vaccination WHERE Country = 'Pakistan';
sum revenue ecofriendly hotel germany last 3 month,"SELECT hotel_id, SUM(revenue) OVER (PARTITION BY hotel_id ORDER BY date DESC ROWS BETWEEN 3 PRECEDING AND CURRENT ROW) FROM revenue WHERE is_eco_friendly = true AND country = 'Germany';"
total number ransomware attack transportation sector africa 2020,SELECT SUM(incident_count) AS total_ransomware_attacks FROM malware_incidents WHERE sector = 'Transportation' AND malware_type = 'Ransomware' AND occurrence_date >= '2020-01-01' AND occurrence_date < '2021-01-01' AND region = 'Africa';
many volunteer signed city 2022,"SELECT City, COUNT(*) as NumVolunteers FROM Volunteers WHERE VolunteerDate BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY City;"
many hotel north america adopted ai technology,SELECT COUNT(*) FROM hotels_tech WHERE region = 'North America' AND ai_adoption = true;
many job applicant q1 2022 segmented job category,"SELECT JobCategory, COUNT(*) FROM JobApplications WHERE ApplicationDate BETWEEN '2022-01-01' AND '2022-03-31' GROUP BY JobCategory;"
maximum number flight hour aircraft manufactured boeing,SELECT MAX(flight_hours) FROM FlightSafety WHERE manufacturer = 'Boeing';
many rural infrastructure project completed province sudáfrica,"SELECT province, COUNT(*) FROM infrastructure_projects WHERE completion_status = 'completed' AND province IN ('Gauteng', 'Western Cape', 'KwaZulu-Natal', 'Eastern Cape', 'Mpumalanga', 'Limpopo', 'North West', 'Free State', 'Northern Cape') GROUP BY province;"
name agricultural innovation project kenya county,SELECT name FROM agricultural_projects WHERE country = 'Kenya';
total number policy violation transportation sector,SELECT SUM(frequency) FROM policy_violations WHERE sector = 'transportation';
total number doctor hospital clinic urban area,"SELECT 'hospitals' AS facility, SUM(num_beds) AS total_doctors FROM hospitals WHERE area = 'urban' UNION SELECT 'clinics', SUM(num_doctors) FROM clinics WHERE area = 'urban';"
many spacecraft manufactured company 2022,"SELECT company, year, COUNT(*) FROM SpacecraftManufacturing WHERE year = 2022 GROUP BY company;"
number marine protected area maximum depth greater 7000 meter,SELECT COUNT(*) FROM marine_protected_areas WHERE max_depth > 7000;
policy type corresponding weight policy ordered weight descending order policy issued pennsylvania,"SELECT PolicyType, Weight FROM Policies WHERE IssueState = 'Pennsylvania' ORDER BY Weight DESC;"
identify number virtual tour taken brazil germany egypt,"SELECT SUM(participants) FROM virtual_tours WHERE country IN ('Brazil', 'Germany', 'Egypt');"
list project ruralinfrastructure table budget greater 100000,SELECT * FROM rural_infrastructure WHERE budget > 100000;
average depth marine life research site pacific region,SELECT AVG(site_depth) FROM marine_sites JOIN ocean_floor_map ON marine_sites.site_id = ocean_floor_map.site_id WHERE marine_sites.region = 'Pacific';
minimum donation amount made repeat donor australia,SELECT MIN(donation_amount) FROM donors WHERE country = 'Australia' GROUP BY donor_id HAVING COUNT(donor_id) > 1;
show number data breach healthcare sector 2019,SELECT COUNT(*) FROM breaches WHERE sector = 'Healthcare' AND year = 2019;
total number healthcare worker california,SELECT COUNT(*) FROM healthcare_workers WHERE location = 'California';
show top 4 common type security incident last 60 day along number incident,"SELECT incident_type, COUNT(*) as total_incidents FROM security_incidents WHERE incident_time >= NOW() - INTERVAL '60 days' GROUP BY incident_type ORDER BY total_incidents DESC LIMIT 4;"
average age player wnba scored 1000 point career team,"SELECT t.team_name, AVG(p.age) as avg_age FROM players p JOIN teams t ON p.team_id = t.team_id WHERE p.career_points > 1000 GROUP BY t.team_name;"
maximum ocean acidification level arctic ocean,SELECT MAX(level) FROM ocean_acidification WHERE location = 'Arctic Ocean';
detail policy reviewed bob charlie,"SELECT * FROM cybersecurity_policies WHERE reviewer IN ('Bob', 'Charlie');"
total number cultural heritage site preserved south america oceania 2021,"SELECT SUM(CASE WHEN location IN ('South America', 'Oceania') THEN 1 ELSE 0 END) as total_sites FROM cultural_heritage WHERE year_preserved <= 2021;"
identify top 5 common vulnerability apac region last quarter,"SELECT vulnerability_type, COUNT(*) AS count FROM vulnerabilities WHERE discovered_date >= DATE_SUB(NOW(), INTERVAL 3 MONTH) AND region = 'APAC' GROUP BY vulnerability_type ORDER BY count DESC LIMIT 5;"
total number successful satellite launch spacetech inc astrocorp,SELECT SUM(success) AS total_successful_launches FROM (SELECT success FROM Satellite_Launches WHERE manufacturer = 'SpaceTech Inc.' UNION ALL SELECT success FROM Satellite_Launches WHERE manufacturer = 'AstroCorp') AS subquery;
find top 3 energyefficient hotel united kingdom,"SELECT name, energy_star_rating FROM hotel_info WHERE country = 'United Kingdom' ORDER BY energy_star_rating DESC LIMIT 3;"
total budget dollar rural infrastructure project brazil initiated 2020,SELECT SUM(budget) FROM rural_infrastructure_projects WHERE start_date BETWEEN '2020-01-01' AND '2020-12-31' AND country = 'Brazil';
total revenue generated tour virtual category year 2023,SELECT SUM(revenue) as total_revenue FROM tours WHERE category = 'virtual' AND YEAR(start_date) = 2023;
total number hotel spa amenity,SELECT COUNT(*) FROM hotel_amenities WHERE amenity = 'Spa';
find number win team mascot containing word wolf team table,SELECT COUNT(*) FROM teams WHERE mascot LIKE '%wolf%' AND wins > 0;
total number unmitigated incident apac region today,SELECT COUNT(*) as count FROM incidents_by_region WHERE region = 'APAC' AND date_mitigated >= '2022-08-01' AND incident_status = 'unmitigated';
total premium collected policyholder california auto policy,SELECT SUM(premium) FROM policyholders WHERE state = 'California' AND policy_type = 'Auto';
ecofriendly hotel canada booking,"SELECT h.hotel_name, SUM(hb.bookings) as total_bookings FROM hotels h JOIN hotel_bookings hb ON h.hotel_id = hb.hotel_id WHERE h.is_eco_friendly = TRUE AND h.country = 'Canada' GROUP BY h.hotel_id ORDER BY total_bookings DESC;"
total claim amount policyholder risk score greater 800,SELECT SUM(c.ClaimAmount) as TotalClaimAmount FROM Claims c INNER JOIN Policyholders p ON c.PolicyID = p.PolicyID WHERE p.RiskScore > 800;
astronaut phd physic,SELECT name FROM astronauts WHERE degree = 'PhD in Physics';
many campaign successful campaign table,SELECT COUNT(*) FROM campaigns WHERE success = TRUE;
average age astronaut flown spacex spacecraft,SELECT AVG(a.age) as avg_age FROM Astronaut a WHERE a.manufacturer = 'SpaceX';
total number ethical ai initiative u canada,"SELECT SUM(initiative_count) FROM ethical_ai WHERE country IN ('USA', 'Canada');"
average economic diversification score south american country q1 2020,"SELECT AVG(score) FROM EconomicDiversification WHERE country IN ('Brazil', 'Argentina', 'Colombia', 'Peru', 'Chile') AND quarter = 1;"
manager hr department,SELECT Manager FROM Departments WHERE Department = 'HR';
many security incident related phishing attack per region q1 2022,"SELECT region, COUNT(*) as count FROM security_incidents WHERE type = 'Phishing' AND date_reported >= '2022-01-01' AND date_reported < '2022-04-01' GROUP BY region;"
maximum risk score policyholder home policy type,"SELECT Policy_Type, MAX(Risk_Score) as Max_Risk_Score FROM RiskAssessment WHERE Policy_Type = 'Home' GROUP BY Policy_Type;"
many cultural heritage site tokyo,SELECT COUNT(*) FROM cultural_sites WHERE location = 'Tokyo';
correlation ai adoption hotel rating north america,"SELECT correlation(ai_services, rating) FROM hotel_ai_rating WHERE country = 'North America'"
many volunteer registered event europe,SELECT COUNT(DISTINCT id) FROM volunteers WHERE events LIKE '%Europe%';
total number hotel hoteltechadoption table offer aipowered customer service,SELECT COUNT(*) FROM hotel_tech_adoption WHERE ai_powered_cs = true;
total production coffee colombia year 2020,SELECT production FROM coffee_production WHERE country = 'Colombia' AND year = 2020;
total revenue generated sport team last financial year,"SELECT team, SUM(revenue) as total_revenue FROM revenue WHERE year = YEAR(DATEADD(year, -1, GETDATE())) GROUP BY team"
average age football player real madrid team,SELECT AVG(age) FROM players WHERE team = 'Real Madrid' AND sport = 'Football';
revenue generated virtual tour new york city,SELECT SUM(revenue) FROM tours WHERE city = 'New York City';
number hospital new york state 200 bed,SELECT COUNT(*) FROM hospitals WHERE state = 'NY' AND num_beds > 200;
find top 2 state lowest number covid19 case,"SELECT state, cases, RANK() OVER (ORDER BY cases ASC) as rank FROM covid_data WHERE rank <= 2;"
find average number home run hit player american league,SELECT AVG(home_runs) FROM players WHERE league = 'American';
total number clinic texas,SELECT COUNT(*) FROM health_facilities WHERE type = 'clinic' AND state = 'Texas';
